#,Článek,Obrázek,Počet obyvatel,Rozloha (km2),Okres
479,Ralsko,,2 119,"170,23",okres Česká Lípa
480,Kopidlno,,2 112,"29,14",okres Jičín
481,Mikulášovice,,2 111,"25,85",okres Děčín
482,Borohrádek,,2 102,"13,98",okres Rychnov nad Kněžnou
483,Týnec nad Labem,,2 095,"15,69",okres Kolín
484,Nový Knín,,2 089,"29,62",okres Příbram
485,Proseč,,2 086,"34,03",okres Chrudim
486,Pyšely,,2 086,"12,81",okres Benešov
487,Horní Jelení,,2 082,"24,48",okres Pardubice
488,Hrochův Týnec,,2 082,"12,5",okres Chrudim
489,Horní Planá,,2 079,"127,17",okres Český Krumlov
490,Hroznětín,,2 061,"23,79",okres Karlovy Vary
